yob,gender,province_territory,hh_income,vote_for
2000,Woman,Ontario,30000,Liberal Party
1998,Man,Ontario,16000,Liberal Party
2000,Woman,Ontario,13000,ndp
2000,Man,Ontario,55000,Conservative Party
1995,Man,Ontario,1000000,Liberal Party
2000,Woman,Ontario,190000,Liberal Party
1999,Man,Ontario,10000,Conservative Party
1995,Woman,Ontario,40000,Liberal Party
1998,Woman,Ontario,30000,Green Party
2000,Woman,Ontario,65000,ndp
1998,Woman,Ontario,70000,Conservative Party
1999,Man,Ontario,15000,Liberal Party
1999,Woman,Ontario,27000,Liberal Party
1997,Man,Ontario,68000,ndp
2000,Woman,Ontario,25000,ndp
1999,Woman,Ontario,600000,Liberal Party
1998,Woman,Ontario,11000,Liberal Party
1996,Man,Ontario,120000,ndp
1997,Man,Ontario,45000,Another party (please specify)
1956,Woman,Quebec,20000,Liberal Party
1960,Man,British Columbia,75000,Conservative Party
1959,Woman,Ontario,200000,Liberal Party
1956,Man,Ontario,210000,ndp
1990,Woman,Ontario,50000,Liberal Party
1962,Woman,Ontario,14000,Green Party
1954,Man,Alberta,150000,Conservative Party
1954,Man,British Columbia,65000,Liberal Party
1978,Man,Quebec,150000,Green Party
1957,Man,Ontario,75000,Conservative Party
1977,Man,Alberta,60000,Liberal Party
1987,Man,Ontario,100000,Liberal Party
1952,Man,Quebec,65000,Bloc Québécois
1982,Man,Ontario,22000,Green Party
1972,Man,Ontario,65000,Conservative Party
1951,Woman,Ontario,55000,ndp
1989,Man,Ontario,64000,Liberal Party
1960,Man,Quebec,100000,Conservative Party
1958,Woman,British Columbia,20000,Green Party
1988,Woman,Quebec,118000,ndp
1954,Woman,Ontario,20000,Liberal Party
1972,Woman,Alberta,75000,Conservative Party
1950,Woman,Ontario,45000,ndp
1955,Woman,Newfoundland and Labrador,90000,Conservative Party
1943,Woman,Quebec,17500,Liberal Party
1964,Man,Quebec,36500,Conservative Party
1956,Man,Saskatchewan,130000,Conservative Party
1962,Man,Prince Edward Island,74000,Green Party
1951,Man,British Columbia,91000,Conservative Party
1952,Man,Alberta,103000,Conservative Party
1960,Man,Quebec,100000,Conservative Party
1991,Man,Ontario,101000,Liberal Party
1956,Man,Ontario,49000,Liberal Party
1958,Man,Alberta,29000,Conservative Party
1990,Woman,Quebec,56000,Conservative Party
1950,Woman,Ontario,75000,Conservative Party
1970,Woman,Quebec,63500,Liberal Party
1957,Woman,Ontario,49000,Conservative Party
1965,Woman,Ontario,55000,Liberal Party
1964,Woman,Quebec,29000,Green Party
1961,Woman,Ontario,54000,Green Party
1978,Woman,Manitoba,25000,Liberal Party
1965,Man,Quebec,83000,Bloc Québécois
1985,Woman,Alberta,165000,Conservative Party
1953,Woman,British Columbia,125000,Conservative Party
1971,Woman,Quebec,48000,Liberal Party
1951,Man,British Columbia,94000,Liberal Party
1951,Man,Nova Scotia,32000,Liberal Party
1954,Woman,Quebec,60000,Liberal Party
1991,Woman,Quebec,84000,Liberal Party
1950,Man,Ontario,42000,Green Party
1984,Woman,Ontario,38799,Liberal Party
1985,Man,New Brunswick,49000,Liberal Party
1991,Woman,Ontario,120000,Conservative Party
1951,Woman,Quebec,20000,Liberal Party
